cep,uf,cidade,bairro,logradouro,lat,lng,city_source,geo_source,updated_at
79112050,MS,Campo Grande,Vila Santo Amaro,Rua Gomes Freire,-20.4474835,-54.6491796,brasilapi,brasilapi,2026-02-23T23:50:16.833Z
79311011,MS,Corumbá,Cristo Redentor,Alameda José de Barros Maciel,-19.0255332,-57.6447552,brasilapi,brasilapi,2026-02-23T23:50:16.868Z
79902502,MS,Ponta Porã,Coophafronteira,Avenida Belmiro de Albuquerque,-22.5066221,-55.7230868,brasilapi,brasilapi,2026-02-23T23:50:17.022Z
80215202,PR,Curitiba,Prado Velho,Rua Francisco Nunes,-25.4594347,-49.2536376,brasilapi,brasilapi,2026-02-23T23:50:17.056Z
81520010,PR,Curitiba,Jardim das Américas,Rua Joaquim Augusto de Andrade,-25.42778,-49.27306,brasilapi,open-meteo,2026-02-23T23:50:17.394Z
83602210,PR,Campo Largo,Jardim São Vicente,Rua Alcebíades Affonso Guimarães,-25.45955,-49.53014,brasilapi,open-meteo,2026-02-23T23:50:17.429Z
85178890,PR,Pinhão,Área Rural (Faxinal do Céu),Área Rural,-25.69556,-51.65972,brasilapi,open-meteo,2026-02-23T23:50:17.790Z
85180970,PR,Pinhão,Faxinal do Céu,Rua Rio Paranapanema,-25.69556,-51.65972,brasilapi,open-meteo,2026-02-23T23:50:17.810Z
85740000,PR,Pérola d'Oeste,,,-25.82502,-53.74051,brasilapi,open-meteo,2026-02-23T23:50:18.160Z
85743000,PR,Pérola d'Oeste,Conciolândia,,-25.82502,-53.74051,brasilapi,open-meteo,2026-02-23T23:50:18.199Z
85892045,PR,Santa Helena,Centro,Rua Argentina,-24.8684039,-54.3393028,brasilapi,brasilapi,2026-02-23T23:50:18.352Z
86062000,PR,Londrina,Campo Belo,Rua Cristiano Machado,-23.3027711,-51.1810473,brasilapi,brasilapi,2026-02-23T23:50:18.403Z
86070500,PR,Londrina,Jardim Shangri-la A,Rua Euclides da Cunha,-23.2997273,-51.1788989,brasilapi,brasilapi,2026-02-23T23:50:18.542Z
86220000,PR,Assaí,,,-23.3736041,-50.8454929,brasilapi,brasilapi,2026-02-23T23:50:18.604Z
86362503,PR,Bandeirantes,Setor 1,Rua Gregório Magalhães Trindade,-23.11,-50.3675,brasilapi,open-meteo,2026-02-23T23:50:18.922Z
86370000,PR,Santa Amélia,,,-23.26583,-50.42417,brasilapi,open-meteo,2026-02-23T23:50:18.984Z
86707260,PR,Arapongas,Jardim Lorena,Rua Codornix,-23.4219956,-51.4294308,brasilapi,brasilapi,2026-02-23T23:50:19.118Z
